cat_9k_1,FCW2136L0AK
AppGigabitEthernet1/0/1,access,1,,f8:7b:20:67:62:a9

FortyGigabitEthernet1/1/1,dynamic_auto,,,f8:7b:20:67:62:a5
FortyGigabitEthernet1/1/2,dynamic_auto,,,f8:7b:20:67:62:a6

GigabitEthernet1/1/1,dynamic_auto,,,f8:7b:20:67:62:99
GigabitEthernet1/1/2,dynamic_auto,,,f8:7b:20:67:62:9a
GigabitEthernet1/1/3,dynamic_auto,,,f8:7b:20:67:62:9b
GigabitEthernet1/1/4,dynamic_auto,,,f8:7b:20:67:62:9c


TenGigabitEthernet1/0/1,access,1,,f8:7b:20:67:62:81
TenGigabitEthernet1/0/2,dynamic_auto,1,,f8:7b:20:67:62:82
TenGigabitEthernet1/0/3,dynamic_auto,1,,f8:7b:20:67:62:83
TenGigabitEthernet1/0/4,dynamic_auto,1,,f8:7b:20:67:62:84
TenGigabitEthernet1/0/5,dynamic_auto,1,,f8:7b:20:67:62:85
TenGigabitEthernet1/0/6,dynamic_auto,1,,f8:7b:20:67:62:86
TenGigabitEthernet1/0/7,dynamic_auto,1,,f8:7b:20:67:62:87
TenGigabitEthernet1/0/8,dynamic_auto,1,,f8:7b:20:67:62:88
TenGigabitEthernet1/0/9,dynamic_auto,1,,f8:7b:20:67:62:89
TenGigabitEthernet1/0/10,dynamic_auto,1,,f8:7b:20:67:62:8a
TenGigabitEthernet1/0/11,dynamic_auto,1,,f8:7b:20:67:62:8b
TenGigabitEthernet1/0/12,dynamic_auto,1,,f8:7b:20:67:62:8c
TenGigabitEthernet1/0/13,dynamic_auto,1,,f8:7b:20:67:62:8d
TenGigabitEthernet1/0/14,dynamic_auto,1,,f8:7b:20:67:62:8e
TenGigabitEthernet1/0/15,dynamic_auto,1,,f8:7b:20:67:62:8f
TenGigabitEthernet1/0/16,dynamic_auto,1,,f8:7b:20:67:62:90
TenGigabitEthernet1/0/17,dynamic_auto,1,,f8:7b:20:67:62:91
TenGigabitEthernet1/0/18,dynamic_auto,1,,f8:7b:20:67:62:92
TenGigabitEthernet1/0/19,dynamic_auto,1,,f8:7b:20:67:62:93
TenGigabitEthernet1/0/20,dynamic_auto,1,,f8:7b:20:67:62:94
TenGigabitEthernet1/0/21,dynamic_auto,1,,f8:7b:20:67:62:95
TenGigabitEthernet1/0/22,dynamic_auto,1,,f8:7b:20:67:62:96
TenGigabitEthernet1/0/23,dynamic_auto,1,,f8:7b:20:67:62:97
TenGigabitEthernet1/0/24,dynamic_auto,1,,f8:7b:20:67:62:98
TenGigabitEthernet1/1/1,routed,,,f8:7b:20:67:62:80
TenGigabitEthernet1/1/2,dynamic_auto,1,,f8:7b:20:67:62:9e
TenGigabitEthernet1/1/3,dynamic_auto,1,,f8:7b:20:67:62:9f
TenGigabitEthernet1/1/4,dynamic_auto,1,,f8:7b:20:67:62:a0
TenGigabitEthernet1/1/5,dynamic_auto,1,,f8:7b:20:67:62:a1
TenGigabitEthernet1/1/6,dynamic_auto,1,,f8:7b:20:67:62:a2
TenGigabitEthernet1/1/7,dynamic_auto,1,,f8:7b:20:67:62:a3
TenGigabitEthernet1/1/8,dynamic_auto,1,,f8:7b:20:67:62:a4
TwentyFiveGigE1/1/1,dynamic_auto,,,f8:7b:20:67:62:a7
TwentyFiveGigE1/1/2,dynamic_auto,,,f8:7b:20:67:62:a8


cat_9k_2,FCW2140L039,network-advantage,dna-advantage
FortyGigabitEthernet1/1/1,dynamic_auto,,,f8:7b:20:71:4d:a5
FortyGigabitEthernet1/1/2,dynamic_auto,,,f8:7b:20:71:4d:a6

GigabitEthernet1/1/1,dynamic_auto,,,f8:7b:20:71:4d:99
GigabitEthernet1/1/2,dynamic_auto,,,f8:7b:20:71:4d:9a
GigabitEthernet1/1/3,dynamic_auto,,,f8:7b:20:71:4d:9b
GigabitEthernet1/1/4,dynamic_auto,,,f8:7b:20:71:4d:9c

TenGigabitEthernet1/0/1,dynamic_auto,1,,f8:7b:20:71:4d:81
TenGigabitEthernet1/0/2,dynamic_auto,1,,f8:7b:20:71:4d:82
TenGigabitEthernet1/0/3,dynamic_auto,1,,f8:7b:20:71:4d:83
TenGigabitEthernet1/0/4,dynamic_auto,1,,f8:7b:20:71:4d:84
TenGigabitEthernet1/0/5,dynamic_auto,1,,f8:7b:20:71:4d:85
TenGigabitEthernet1/0/6,dynamic_auto,1,,f8:7b:20:71:4d:86
TenGigabitEthernet1/0/7,dynamic_auto,1,,f8:7b:20:71:4d:87
TenGigabitEthernet1/0/8,dynamic_auto,1,,f8:7b:20:71:4d:88
TenGigabitEthernet1/0/9,dynamic_auto,1,,f8:7b:20:71:4d:89
TenGigabitEthernet1/0/10,dynamic_auto,1,,f8:7b:20:71:4d:8a
TenGigabitEthernet1/0/11,dynamic_auto,1,,f8:7b:20:71:4d:8b
TenGigabitEthernet1/0/12,dynamic_auto,1,,f8:7b:20:71:4d:8c
TenGigabitEthernet1/0/13,dynamic_auto,1,,f8:7b:20:71:4d:8d
TenGigabitEthernet1/0/14,dynamic_auto,1,,f8:7b:20:71:4d:8e
TenGigabitEthernet1/0/15,dynamic_auto,1,,f8:7b:20:71:4d:8f
TenGigabitEthernet1/0/16,dynamic_auto,1,,f8:7b:20:71:4d:90
TenGigabitEthernet1/0/17,dynamic_auto,1,,f8:7b:20:71:4d:91
